year	day	hour	value
2014	1	17	191
2014	7	17	191
2015	6	17	176
2015	5	17	169
2015	4	17	160
2015	3	17	142
2015	2	17	137
2015	1	17	156
2015	7	17	152
2003	6	18	135
2003	5	18	188
2003	4	18	151
2003	3	18	165
2003	2	18	171
2003	1	18	178
2003	7	18	113
2004	6	18	93
2004	5	18	157
2004	4	18	163
2004	3	18	160
2004	2	18	186
2004	1	18	125
2004	7	18	129
2005	6	18	142
2005	5	18	145
2005	4	18	149
2005	3	18	151
2005	2	18	164
2005	1	18	158
2005	7	18	147
2006	6	18	152
2006	5	18	207
2006	4	18	184
2006	3	18	172
2006	2	18	197
2006	1	18	195
2006	7	18	131
2007	6	18	143
2007	5	18	165
2007	4	18	142
2007	3	18	169
2007	2	18	148
2007	1	18	173
2007	7	18	141
2008	6	18	136
2008	5	18	145
2008	4	18	128
2008	3	18	149
2008	2	18	160
2008	1	18	146
2008	7	18	124
2009	6	18	130
2009	5	18	168
2009	4	18	144
2009	3	18	146
2009	2	18	183
2009	1	18	181
2009	7	18	132
2010	6	18	124
2010	5	18	162
2010	4	18	140
2010	3	18	146
2010	2	18	139
2010	1	18	134
2010	7	18	102
2011	6	18	114
2011	5	18	192
2011	4	18	159
2011	3	18	190
2011	2	18	166
2011	1	18	148
2011	7	18	106
2012	6	18	163
2012	5	18	207
2012	4	18	188
2012	3	18	198
2012	2	18	212
2012	1	18	195
2012	7	18	147
2013	6	18	215
2013	5	18	305
2013	4	18	224
2013	3	18	249
2013	2	18	277
2013	1	18	293
2013	7	18	180
2014	6	18	270
2014	5	18	315
2014	4	18	341
2014	3	18	334
2014	2	18	354
2014	1	18	308
2014	7	18	213
2015	6	18	195
2015	5	18	271
2015	4	18	272
2015	3	18	277
2015	2	18	286
2015	1	18	242
2015	7	18	165
2003	6	19	121
2003	5	19	154
2003	4	19	145
2003	3	19	198
2003	2	19	154
2003	1	19	155
2003	7	19	119
2004	6	19	131
2004	5	19	157
2004	4	19	165
2004	3	19	176
2004	2	19	161
2004	1	19	127
2004	7	19	121
2005	6	19	135
2005	5	19	144
2005	4	19	203
2005	3	19	172
2005	2	19	183
2005	1	19	147
2005	7	19	124
2006	6	19	151
2006	5	19	193
2006	4	19	212
2006	3	19	196
2006	2	19	196
2006	1	19	202
2006	7	19	158
2007	6	19	161
2007	5	19	153
2007	4	19	168
2007	3	19	172
2007	2	19	179
2007	1	19	128
2007	7	19	129
2008	6	19	156
2008	5	19	152
2008	4	19	174
2008	3	19	170
2008	2	19	169
2008	1	19	158
2008	7	19	123
2009	6	19	127
2009	5	19	193
2009	4	19	159
2009	3	19	169
2009	2	19	183
2009	1	19	162
2009	7	19	116
2010	6	19	129
2010	5	19	154
2010	4	19	152
2010	3	19	149
2010	2	19	149
2010	1	19	137
2010	7	19	105
2011	6	19	129
2011	5	19	169
2011	4	19	177
2011	3	19	192
2011	2	19	177
2011	1	19	152
2011	7	19	111
2012	6	19	174
2012	5	19	188
2012	4	19	194
2012	3	19	217
2012	2	19	227
2012	1	19	194
2012	7	19	137
2013	6	19	210
2013	5	19	283
2013	4	19	265
2013	3	19	289
2013	2	19	274
2013	1	19	223
2013	7	19	196
2014	6	19	270
2014	5	19	333
2014	4	19	336
2014	3	19	370
2014	2	19	320
2014	1	19	345
2014	7	19	181
2015	6	19	226
2015	5	19	280
2015	4	19	278
2015	3	19	325
2015	2	19	303
2015	1	19	268
2015	7	19	174
2003	6	20	124
2003	5	20	126
2003	4	20	166
2003	3	20	139
2003	2	20	146
2003	1	20	131
2003	7	20	109
2004	6	20	123
2004	5	20	153
2004	4	20	133
2004	3	20	139
2004	2	20	162
2004	1	20	134
2004	7	20	113
2005	6	20	136
2005	5	20	146
2005	4	20	172
2005	3	20	183
2005	2	20	151
2005	1	20	152
2005	7	20	145
2006	6	20	181
2006	5	20	165
2006	4	20	166
2006	3	20	171
2006	2	20	167
2006	1	20	147
2006	7	20	157
2007	6	20	130
2007	5	20	148
2007	4	20	139
2007	3	20	149
2007	2	20	171
2007	1	20	142
2007	7	20	120
2008	6	20	130
2008	5	20	129
2008	4	20	142
2008	3	20	153
2008	2	20	125
2008	1	20	125
2008	7	20	118
2009	6	20	108
2009	5	20	138
2009	4	20	145
2009	3	20	132
2009	2	20	132
2009	1	20	132
2009	7	20	120
2010	6	20	140
2010	5	20	123
2010	4	20	134
2010	3	20	138
2010	2	20	133
2010	1	20	119
2010	7	20	94
2011	6	20	146
2011	5	20	156
2011	4	20	150
2011	3	20	144
2011	2	20	130
2011	1	20	125
2011	7	20	93
2012	6	20	152
2012	5	20	164
2012	4	20	168
2012	3	20	167
2012	2	20	170
2012	1	20	136
2012	7	20	132
2013	6	20	217
2013	5	20	269
2013	4	20	213
2013	3	20	267
2013	2	20	235
2013	1	20	192
2013	7	20	165
2014	6	20	265
2014	5	20	315
2014	4	20	307
2014	3	20	283
2014	2	20	292
2014	1	20	292
2014	7	20	220
2015	6	20	225
2015	5	20	265
2015	4	20	252
2015	3	20	258
2015	2	20	206
2015	1	20	244
2015	7	20	143
2003	6	21	146
2003	5	21	126
2003	4	21	144
2003	3	21	147
2003	2	21	145
2003	1	21	110
2003	7	21	107
2004	6	21	132
2004	5	21	120
2004	4	21	144
2004	3	21	114
2004	2	21	115
2004	1	21	110
2004	7	21	105
2005	6	21	135
2005	5	21	130
2005	4	21	133
2005	3	21	139
2005	2	21	147
2005	1	21	121
2005	7	21	151
2006	6	21	153
2006	5	21	137
2006	4	21	166
2006	3	21	159
2006	2	21	139
2006	1	21	164
2006	7	21	140
2007	6	21	134
2007	5	21	139
2007	4	21	132
2007	3	21	124
2007	2	21	127
2007	1	21	138
2007	7	21	106
2008	6	21	122
2008	5	21	115
2008	4	21	123
2008	3	21	133
2008	2	21	120
2008	1	21	99
2008	7	21	91
2009	6	21	127
2009	5	21	117
2009	4	21	104
2009	3	21	113
2009	2	21	111
2009	1	21	119
2009	7	21	97
2010	6	21	110
2010	5	21	126
2010	4	21	112
2010	3	21	101
2010	2	21	107
2010	1	21	99
2010	7	21	80
2011	6	21	118
2011	5	21	133
2011	4	21	106
2011	3	21	133
2011	2	21	112
2011	1	21	107
2011	7	21	96
2012	6	21	145
2012	5	21	160
2012	4	21	114
2012	3	21	134
2012	2	21	120
2012	1	21	122
2012	7	21	101
2013	6	21	214
2013	5	21	213
2013	4	21	208
2013	3	21	194
2013	2	21	203
2013	1	21	151
2013	7	21	143
2014	6	21	274
2014	5	21	242
2014	4	21	218
2014	3	21	206
2014	2	21	229
2014	1	21	238
2014	7	21	180
2015	6	21	184
2015	5	21	261
2015	4	21	180
2015	3	21	180
2015	2	21	171
2015	1	21	161
2015	7	21	147
2003	6	22	169
2003	5	22	146
2003	4	22	147
2003	3	22	146
2003	2	22	140
2003	1	22	134
2003	7	22	133
2004	6	22	139
2004	5	22	158
2004	4	22	141
2004	3	22	121
2004	2	22	123
2004	1	22	136
2004	7	22	143
2005	6	22	195
2005	5	22	185
2005	4	22	140
2005	3	22	131
2005	2	22	146
2005	1	22	135
2005	7	22	135
2006	6	22	207
2006	5	22	181
2006	4	22	161
2006	3	22	144
2006	2	22	151
2006	1	22	120
2006	7	22	160
2007	6	22	196
2007	5	22	167
2007	4	22	150
2007	3	22	128
2007	2	22	151
2007	1	22	126
2007	7	22	123
2008	6	22	138
2008	5	22	153
2008	4	22	132
2008	3	22	122
2008	2	22	123
2008	1	22	114
2008	7	22	115
2009	6	22	181
2009	5	22	131
2009	4	22	126
2009	3	22	103
2009	2	22	96
2009	1	22	85
2009	7	22	91
2010	6	22	148
2010	5	22	155
2010	4	22	106
2010	3	22	89
2010	2	22	93
2010	1	22	91
2010	7	22	95
2011	6	22	142
2011	5	22	134
2011	4	22	120
2011	3	22	98
2011	2	22	101
2011	1	22	82
2011	7	22	89
2012	6	22	182
2012	5	22	194
2012	4	22	116
2012	3	22	130
2012	2	22	119
2012	1	22	113
2012	7	22	112
2013	6	22	231
2013	5	22	223
2013	4	22	172
2013	3	22	159
2013	2	22	143
2013	1	22	140
2013	7	22	145
2014	6	22	322
2014	5	22	268
2014	4	22	206
2014	3	22	210
2014	2	22	189
2014	1	22	179
2014	7	22	168
2015	6	22	247
2015	5	22	227
2015	4	22	159
2015	3	22	148
2015	2	22	136
2015	1	22	143
2015	7	22	117
2003	6	23	185
2003	5	23	170
2003	4	23	149
2003	3	23	123
2003	2	23	108
2003	1	23	107
2003	7	23	117
2004	6	23	192
2004	5	23	169
2004	4	23	129
2004	3	23	129
2004	2	23	112
2004	1	23	83
2004	7	23	91
2005	6	23	188
2005	5	23	172
2005	4	23	145
2005	3	23	123
2005	2	23	119
2005	1	23	117
2005	7	23	121
2006	6	23	215
2006	5	23	201
2006	4	23	163
2006	3	23	135
2006	2	23	162
2006	1	23	119
2006	7	23	140
2007	6	23	193
2007	5	23	167
2007	4	23	120
2007	3	23	120
2007	2	23	127
2007	1	23	103
2007	7	23	87
2008	6	23	198
2008	5	23	143
2008	4	23	142
2008	3	23	107
2008	2	23	85
2008	1	23	84
2008	7	23	103
2009	6	23	152
2009	5	23	157
2009	4	23	92
2009	3	23	94
2009	2	23	94
2009	1	23	86
2009	7	23	95
2010	6	23	149
2010	5	23	116
2010	4	23	83
2010	3	23	61
2010	2	23	76
2010	1	23	82
2010	7	23	69
2011	6	23	166
2011	5	23	116
2011	4	23	108
2011	3	23	61
2011	2	23	69
2011	1	23	57
2011	7	23	77
2012	6	23	182
2012	5	23	143
2012	4	23	94
2012	3	23	93
2012	2	23	58
2012	1	23	67
2012	7	23	73
2013	6	23	219
2013	5	23	211
2013	4	23	114
2013	3	23	137
2013	2	23	83
2013	1	23	112
2013	7	23	109
2014	6	23	249
2014	5	23	229
2014	4	23	153
2014	3	23	141
2014	2	23	123
2014	1	23	110
2014	7	23	122
2015	6	23	184
2015	5	23	170
2015	4	23	128
2015	3	23	100
2015	2	23	103
2015	1	23	109
2015	7	23	90
